edge	PearsonCor
ENSDARG00000070858 (geneExprCor) ENSDARG00000042683	0.917507542413383
ENSDARG00000070858 (geneExprCor) ENSDARG00000042698	0.910079926353736
ENSDARG00000070858 (geneExprCor) ENSDARG00000045580	0.818583266564657
ENSDARG00000073998 (geneExprCor) ENSDARG00000000887	0.886825640968585
ENSDARG00000073998 (geneExprCor) ENSDARG00000007601	0.889388139652257
ENSDARG00000073998 (geneExprCor) ENSDARG00000011932	0.830162843221652
ENSDARG00000073998 (geneExprCor) ENSDARG00000014039	0.904211421662845
ENSDARG00000073998 (geneExprCor) ENSDARG00000014209	0.893919299374114
ENSDARG00000073998 (geneExprCor) ENSDARG00000037551	0.919060573627436
ENSDARG00000073998 (geneExprCor) ENSDARG00000037874	0.839925064412055
ENSDARG00000073998 (geneExprCor) ENSDARG00000042683	0.826469993127746
ENSDARG00000073998 (geneExprCor) ENSDARG00000042698	0.853945253502527
ENSDARG00000073998 (geneExprCor) ENSDARG00000052894	0.884957328951657
ENSDARG00000073998 (geneExprCor) ENSDARG00000056387	0.826282949458554
ENSDARG00000073998 (geneExprCor) ENSDARG00000063186	0.8254834515516
ENSDARG00000073998 (geneExprCor) ENSDARG00000070126	0.864934482417512
ENSDARG00000073998 (geneExprCor) ENSDARG00000070858	0.816660899281788
ENSDARG00000075301 (geneExprCor) ENSDARG00000000887	0.885291331260417
ENSDARG00000075301 (geneExprCor) ENSDARG00000004874	0.930523497353056
ENSDARG00000075301 (geneExprCor) ENSDARG00000007601	0.863566590209037
ENSDARG00000075301 (geneExprCor) ENSDARG00000011932	0.833228113803203
ENSDARG00000075301 (geneExprCor) ENSDARG00000014039	0.854520549038947
ENSDARG00000075301 (geneExprCor) ENSDARG00000014209	0.868194009356009
ENSDARG00000075301 (geneExprCor) ENSDARG00000037551	0.86218134807415
ENSDARG00000075301 (geneExprCor) ENSDARG00000037874	0.848141718821542
ENSDARG00000075301 (geneExprCor) ENSDARG00000042683	0.842562896266075
ENSDARG00000075301 (geneExprCor) ENSDARG00000042698	0.865940378084524
ENSDARG00000075301 (geneExprCor) ENSDARG00000052894	0.929792171731944
ENSDARG00000075301 (geneExprCor) ENSDARG00000056387	0.839640171518263
ENSDARG00000075301 (geneExprCor) ENSDARG00000070126	0.857947371548018
ENSDARG00000076170 (geneExprCor) ENSDARG00000013843	0.855882773687655
ENSDARG00000076290 (geneExprCor) ENSDARG00000006124	0.882106800568797
ENSDARG00000076290 (geneExprCor) ENSDARG00000006719	0.811585123772901
ENSDARG00000076290 (geneExprCor) ENSDARG00000019339	0.817827654634232
ENSDARG00000076290 (geneExprCor) ENSDARG00000024277	0.803410652424698
ENSDARG00000077536 (geneExprCor) ENSDARG00000012261	0.836918227232882
ENSDARG00000077811 (geneExprCor) ENSDARG00000004588	0.855586245181389
ENSDARG00000077811 (geneExprCor) ENSDARG00000006124	0.804348473582752
ENSDARG00000077811 (geneExprCor) ENSDARG00000006719	0.811757798279298
ENSDARG00000077811 (geneExprCor) ENSDARG00000026225	0.800382687673844
ENSDARG00000077811 (geneExprCor) ENSDARG00000062002	0.827449176340598
ENSDARG00000077811 (geneExprCor) ENSDARG00000076290	0.826029139727972
ENSDARG00000078118 (geneExprCor) ENSDARG00000004588	0.904291326103441
ENSDARG00000078118 (geneExprCor) ENSDARG00000004735	0.844063259034492
ENSDARG00000078118 (geneExprCor) ENSDARG00000005551	0.823813767613639
ENSDARG00000078118 (geneExprCor) ENSDARG00000013351	0.921846623330105
ENSDARG00000078118 (geneExprCor) ENSDARG00000016484	0.814130288432869
ENSDARG00000078118 (geneExprCor) ENSDARG00000017762	0.83023157415597
ENSDARG00000078118 (geneExprCor) ENSDARG00000020702	0.806066886421898
ENSDARG00000078118 (geneExprCor) ENSDARG00000023272	0.803907378651505
ENSDARG00000078118 (geneExprCor) ENSDARG00000025847	0.902827710097234
ENSDARG00000078118 (geneExprCor) ENSDARG00000036161	0.807127335155372
ENSDARG00000078118 (geneExprCor) ENSDARG00000040184	0.811400631802014
ENSDARG00000078118 (geneExprCor) ENSDARG00000052856	0.804811486521696
